Stock,Avg_Turnover_Cr,Median_Turnover_Cr,Min_Turnover_Cr,Max_Turnover_Cr,Avg_Volume,Latest_Price,Avg_Spread_%,Trading_Days
NESTLEIND,173.61096125399868,119.1754564576355,0.0,2696.1834279210448,1448484.388888889,1238.300048828125,1.7719892045519752,126
NTPC,326.6420343549818,265.88207985898134,0.0,3265.3254063067106,9888529.555555556,325.04998779296875,1.4649644517916338,126
ONGC,219.5540703638421,192.14501551863935,0.0,1033.3569089510345,9227998.214285715,238.02000427246094,1.5093356682063102,126
POWERGRID,314.8648221417126,281.96217971233824,0.0,1373.2383668998534,11236270.349206349,263.6000061035156,1.6047627910569506,126
RELIANCE,1510.1137979523326,1406.2881771181578,0.0,4236.6186525213625,10455335.325396825,1556.5,1.4247567882048573,126
SBILIFE,177.5589958275594,150.16835315427244,0.0,1251.5831557484742,949545.1825396825,2025.9000244140625,1.7248876902789647,126
SBIN,838.7515128362961,711.8032785271973,0.0,2218.1888232,9633316.896825397,963.1500244140625,1.3513349788020677,126
SUNPHARMA,366.26855472733126,313.64972763133545,0.0,1464.3150163364257,2197649.8174603176,1793.5,1.5890937350822676,126
TCS,884.4058893272858,828.4805187931153,0.0,2660.240782433838,2834375.8095238097,3220.5,1.4341808459740581,126
TATACONSUM,134.59908865694788,114.47908389921264,0.0,672.0605254686035,1198018.388888889,1149.300048828125,1.9904982583985287,126
TATAMOTORS,676.2873042756546,534.7334238859619,0.0,2199.547218375,11744998.396825397,347.45001220703125,2.1539662522830896,126
TATASTEEL,392.976468166718,331.54176756816406,0.0,1450.0078214651091,23528936.34126984,171.88999938964844,1.9269309991499546,126
TECHM,285.996515348703,240.83576461236572,0.0,1178.7742313857423,1900832.119047619,1578.4000244140625,1.8827382520506042,126
TITAN,337.97611065296553,256.23969873719483,0.0,2503.4831823786135,944056.0793650794,3880.199951171875,1.6385163159166636,126
TRENT,559.1530016422627,405.70651962490234,0.0,6147.66310375,1092368.4841269841,4075.39990234375,2.2404426224705642,126
ULTRACEMCO,298.3874175328714,249.52578015,0.0,1032.02472,245854.94444444444,11723.0,1.532537371231904,126
UPL,174.3286824798772,138.52972546730956,0.0,894.7510345967102,2469149.1587301586,748.3499755859375,2.2652097840212453,126
WIPRO,219.25338708488212,191.92625501827393,0.0,1055.1961998552276,8767199.253968254,260.6000061035156,1.6861290528002693,126
ZEEL,139.07009105605079,80.3864456652832,0.0,2402.1232194126464,11194667.38095238,94.16999816894531,2.915804005904061,126
DMART,222.98488273123587,158.89931005,0.0,1451.1209854407714,517941.0873015873,3843.0,2.0525475331443115,126
ADANIPORTS,289.7623460522337,229.00840373011476,0.0,1357.0770801526855,2041181.3174603174,1522.800048828125,1.8605966134274559,126
